region_id,2011_Census_75_79_years_Separated_Males,2011_Census_75_79_years_Separated_Females,2011_Census_75_79_years_Divorced_Males,2011_Census_75_79_years_Divorced_Females,2011_Census_75_79_years_Widowed_Males,2011_Census_75_79_years_Widowed_Females,2011_Census_75_79_years_Never_married_Males,2011_Census_75_79_years_Never_married_Females,2011_Census_75_79_years_Total_Males,2011_Census_75_79_years_Total_Females,2011_Census_75_79_years_Total_Persons,2011_Census_80_84_years_Married_Males,2011_Census_80_84_years_Married_Females,2011_Census_80_84_years_Separated_Males,2011_Census_80_84_years_Separated_Females,2011_Census_80_84_years_Divorced_Males,2011_Census_80_84_years_Divorced_Females,2011_Census_80_84_years_Widowed_Males,2011_Census_80_84_years_Widowed_Females,2011_Census_80_84_years_Never_married_Males,2011_Census_80_84_years_Never_married_Females,2011_Census_80_84_years_Total_Males,2011_Census_80_84_years_Total_Females,2011_Census_80_84_years_Total_Persons,2011_Census_85_years_and_over_Married_Males,2011_Census_85_years_and_over_Married_Females,2011_Census_85_years_and_over_Separated_Males,2011_Census_85_years_and_over_Separated_Females,2011_Census_85_years_and_over_Divorced_Males,2011_Census_85_years_and_over_Divorced_Females,2011_Census_85_years_and_over_Widowed_Males,2011_Census_85_years_and_over_Widowed_Females,2011_Census_85_years_and_over_Never_married_Males,2011_Census_85_years_and_over_Never_married_Females,2011_Census_85_years_and_over_Total_Males,2011_Census_85_years_and_over_Total_Females,2011_Census_85_years_and_over_Total_Persons,2011_Census_Overseas_visitors_Married_Males,2011_Census_Overseas_visitors_Married_Females,2011_Census_Overseas_visitors_Separated_Males,2011_Census_Overseas_visitors_Separated_Females,2011_Census_Overseas_visitors_Divorced_Males,2011_Census_Overseas_visitors_Divorced_Females,2011_Census_Overseas_visitors_Widowed_Males,2011_Census_Overseas_visitors_Widowed_Females,2011_Census_Overseas_visitors_Never_married_Males,2011_Census_Overseas_visitors_Never_married_Females,2011_Census_Overseas_visitors_Total_Males,2011_Census_Overseas_visitors_Total_Females,2011_Census_Overseas_visitors_Total_Persons,2011_Census_Total_Married_Males,2011_Census_Total_Married_Females,2011_Census_Total_Separated_Males,2011_Census_Total_Separated_Females,2011_Census_Total_Divorced_Males,2011_Census_Total_Divorced_Females,2011_Census_Total_Widowed_Males,2011_Census_Total_Widowed_Females,2011_Census_Total_Never_married_Males,2011_Census_Total_Never_married_Females,2011_Census_Total_Total_Males,2011_Census_Total_Total_Females,2011_Census_Total_Total_Persons
10101,23,9,66,87,157,465,71,45,961,1107,2068,464,268,10,18,36,44,163,553,43,40,716,923,1639,221,128,9,3,15,30,181,716,30,62,456,939,1395,33,27,0,5,3,4,0,0,37,48,73,84,157,13770,13487,894,978,2206,2480,850,2884,8782,7062,26502,26891,53393
10102,16,13,56,36,48,206,18,11,421,462,883,208,116,5,4,22,26,46,222,16,9,297,377,674,70,25,4,0,10,15,64,340,16,8,164,388,552,40,39,0,3,4,8,3,10,30,42,77,102,179,10587,10536,711,707,1756,1964,380,1400,7900,6530,21334,21137,42471
10103,16,4,28,23,40,121,17,11,338,290,628,121,78,5,3,17,14,40,136,20,7,203,238,441,87,42,3,0,3,10,50,190,17,14,160,256,416,29,22,5,4,7,3,0,4,215,181,256,214,470,6057,5408,376,300,954,953,274,776,5624,4009,13285,11446,24731
10104,32,21,136,121,157,547,64,42,1495,1532,3027,715,456,15,7,65,64,219,657,53,22,1067,1206,2273,422,234,8,4,28,42,260,918,19,32,737,1230,1967,37,56,3,0,8,5,3,10,45,51,96,122,218,14599,14604,942,1047,2816,3171,1061,3397,7956,6697,27374,28916,56290
10201,69,52,211,379,285,1194,130,123,2438,3133,5571,1376,995,46,45,168,234,420,1606,86,99,2096,2979,5075,948,580,18,16,72,144,661,2482,66,127,1765,3349,5114,71,114,4,4,23,19,4,22,75,112,177,271,448,31324,31807,2109,2523,5357,8137,2064,7861,21132,18358,61986,68686,130672
10202,67,51,212,292,312,1140,115,79,2365,2836,5201,1196,813,41,24,129,192,413,1375,77,51,1856,2455,4311,694,391,19,12,61,130,535,1806,55,67,1364,2406,3770,42,50,0,3,13,3,5,17,45,68,105,141,246,26772,27160,2147,2763,5232,7494,1977,6812,19442,17324,55570,61553,117123
10301,15,11,32,44,56,243,37,26,475,618,1093,248,144,11,8,25,25,70,298,20,19,374,494,868,104,53,0,7,14,20,83,386,17,49,218,515,733,15,16,0,0,3,0,3,0,39,59,60,75,135,8033,7821,529,622,1296,1550,404,1514,7113,5853,17375,17360,34735
10302,27,10,81,48,142,430,81,36,988,1055,2043,463,296,15,7,38,32,181,510,49,36,746,881,1627,247,149,12,3,9,30,171,717,26,44,465,943,1408,38,24,0,0,3,3,0,6,53,39,94,72,166,11091,10915,768,740,1783,1753,838,2776,7030,5601,21510,21785,43295
10303,35,13,71,63,86,298,52,29,702,722,1424,286,181,12,11,35,29,102,337,28,22,463,580,1043,136,62,3,0,7,14,99,499,27,20,272,595,867,15,26,0,0,3,4,0,3,18,27,36,60,96,8642,8367,651,668,1672,1671,537,1886,6259,4689,17761,17281,35042
10304,18,13,57,61,93,351,49,22,738,825,1563,305,203,5,6,32,36,103,391,28,26,473,662,1135,170,98,7,5,12,15,112,534,18,21,319,673,992,22,27,3,5,6,4,0,4,37,31,68,71,139,10500,10314,637,747,1651,1991,565,2047,7573,6546,20926,21645,42571
